from,to,cost
439_1_334,439_1_334,0.0
439_1_334,439_2_333,969.2121358335356
439_1_334,439_3_332,1851.7279646790182
439_1_334,438_1_331,2796.338621189102
439_1_334,438_3_329,4551.1126910381445
439_1_334,356_1_309,12837.328159104038
439_1_334,356_2_308,13919.849831795122
439_1_334,355_1_156,15003.235000806279
439_1_334,355_2_153,15397.595734974002
439_1_334,355_3_155,15973.145136031324
439_1_334,354_1_79,16631.794532093063
439_1_334,354_2_144,17190.447820366804
439_1_334,354_3_145,17716.39848292736
439_1_334,34_1_94,18608.455259924853
439_1_334,49_2_12,21666.63155555732
439_1_334,49_3_15,22095.220910701977
439_1_334,58_2_17,22506.28231007152
439_1_334,59_1_18,23064.559150584733
439_1_334,59_2_18,23634.940995085755
439_1_334,72_2_28,25327.139888642454
439_1_334,72_1_22,25351.688478607564
439_1_334,89_1_28,26016.61661199159
439_1_334,89_2_30,26409.180983307066
439_1_334,97_1_33,26727.283512241676
439_1_334,97_2_33,27098.72544007044
439_1_334,97_3_38,27681.53049665885
439_2_333,439_1_334,969.2121358335356
439_2_333,439_2_333,0.0
439_2_333,439_3_332,882.9688718986937
439_2_333,438_1_331,1827.5460338579392
439_2_333,438_3_329,3581.9276952809373
439_2_333,356_1_309,11900.19202249496
439_2_333,356_2_308,12988.63642096949
439_2_333,355_1_156,14077.235503832191
439_2_333,355_2_153,14473.330371457185
439_2_333,355_3_155,15051.415640536263
439_2_333,354_1_79,15712.84311139374
439_2_333,354_2_144,16273.671972556172
439_2_333,354_3_145,16801.5592000226
439_2_333,34_1_94,17696.751514492236
439_2_333,49_2_12,20763.990029705303
439_2_333,49_3_15,21193.74992720066
439_2_333,58_2_17,21605.812771286644
439_2_333,59_1_18,22165.39708940147
439_2_333,59_2_18,22737.089900402712
439_2_333,72_2_28,24432.864437458233
439_2_333,72_1_22,24457.421704033553
439_2_333,89_1_28,25123.65036144994
439_2_333,89_2_30,25516.950287381285
439_2_333,97_1_33,25835.370047254273
439_2_333,97_2_33,26205.876764892702
439_2_333,97_3_38,26785.355015487552
439_3_332,439_1_334,1851.7279646790182
439_3_332,439_2_333,882.9688718986937
439_3_332,439_3_332,0.0
439_3_332,438_1_331,944.6302665019339
439_3_332,438_3_329,2699.711633546491
439_3_332,356_1_309,11041.003101427288
439_3_332,356_2_308,12134.345474919395
439_3_332,355_1_156,13227.22232708986
439_3_332,355_2_153,13624.731135848318
439_3_332,355_3_155,14204.886819670004
439_3_332,354_1_79,14868.577143285405
439_3_332,354_2_144,15431.16807135176
439_3_332,354_3_145,15960.618012122584
439_3_332,34_1_94,16858.335146513702
439_3_332,49_2_12,19932.800014477936
439_3_332,49_3_15,20363.49228554471
439_3_332,58_2_17,20776.344425485757
439_3_332,59_1_18,21336.957072423822
439_3_332,59_2_18,21909.681665803775
439_3_332,72_2_28,23608.259093742825
439_3_332,72_1_22,23632.819410671575
439_3_332,89_1_28,24300.064657757026
439_3_332,89_2_30,24693.938202067377
439_3_332,97_1_33,25012.580212553705
439_3_332,97_2_33,25382.209189096182
439_3_332,97_3_38,25958.702949620336
438_1_331,439_1_334,2796.338621189102
438_1_331,439_2_333,1827.5460338579392
438_1_331,439_3_332,944.6302665019339
438_1_331,438_1_331,0.0
438_1_331,438_3_329,1755.8398883050245
438_1_331,356_1_309,10130.219673495578
438_1_331,356_2_308,11229.498608035823
438_1_331,355_1_156,12327.412664145633
438_1_331,355_2_153,12726.55757632401
438_1_331,355_3_155,13309.10111021051
438_1_331,354_1_79,13975.378490884625
438_1_331,354_2_144,14539.959650464521
438_1_331,354_3_145,15071.159918640422
438_1_331,34_1_94,15971.685756656301
438_1_331,49_2_12,19054.023960937913
438_1_331,49_3_15,19485.724589925212
438_1_331,58_2_17,19899.41781015623
438_1_331,59_1_18,20461.122067544453
438_1_331,59_2_18,21034.941636543732
438_1_331,72_2_28,22736.471991619466
438_1_331,72_1_22,22761.03039638919
438_1_331,89_1_28,23429.340686247466
438_1_331,89_2_30,23823.81289997689
438_1_331,97_1_33,24142.652618881468
438_1_331,97_2_33,24511.163784573502
438_1_331,97_3_38,25084.003373959913
438_3_329,439_1_334,4551.1126910381445
438_3_329,439_2_333,3581.9276952809373
438_3_329,439_3_332,2699.711633546491
438_3_329,438_1_331,1755.8398883050245
438_3_329,438_3_329,0.0
438_3_329,356_1_309,8488.419110786215
438_3_329,356_2_308,9600.988870422716
438_3_329,355_1_156,10709.555494658682
438_3_329,355_2_153,11112.0429154878
438_3_329,355_3_155,11699.463665893121
438_3_329,354_1_79,12370.950515749893
438_3_329,354_2_144,12939.441903610108
438_3_329,354_3_145,13474.027382516118
438_3_329,34_1_94,14379.932589321468
438_3_329,49_2_12,17476.80823387175
438_3_329,49_3_15,17910.36309490428
438_3_329,58_2_17,18325.54658671505
438_3_329,59_1_18,18889.171875129523
438_3_329,59_2_18,19464.925079180837
438_3_329,72_2_28,21171.605155156438
438_3_329,72_1_22,21196.1359937258
438_3_329,89_1_28,21866.289151088436
438_3_329,89_2_30,22261.789582642727
438_3_329,97_1_33,22580.80917673506
438_3_329,97_2_33,22946.45231057508
438_3_329,97_3_38,23510.468136841977
356_1_309,439_1_334,12837.328159104038
356_1_309,439_2_333,11900.19202249496
356_1_309,439_3_332,11041.003101427288
356_1_309,438_1_331,10130.219673495578
356_1_309,438_3_329,8488.419110786215
356_1_309,356_1_309,0.0
356_1_309,356_2_308,1125.1488627190765
356_1_309,355_1_156,2242.4927621119127
356_1_309,355_2_153,2647.4896532351363
356_1_309,355_3_155,3238.9057795818726
356_1_309,354_1_79,3914.655319902474
356_1_309,354_2_144,4486.096984300749
356_1_309,354_3_145,5023.140485086931
356_1_309,34_1_94,5933.0125929394435
356_1_309,49_2_12,9039.897172436886
356_1_309,49_3_15,9474.865392478558
356_1_309,58_2_17,9890.96625110096
356_1_309,59_1_18,10455.754828376432
356_1_309,59_2_18,11032.75085934362
356_1_309,72_2_28,12742.659895572719
356_1_309,72_1_22,12767.071642367959
356_1_309,89_1_28,13438.387360563986
356_1_309,89_2_30,13834.519567558551
356_1_309,97_1_33,14152.99741202763
356_1_309,97_2_33,14513.130633688696
356_1_309,97_3_38,15062.994303256794
356_2_308,439_1_334,13919.849831795122
356_2_308,439_2_333,12988.63642096949
356_2_308,439_3_332,12134.345474919395
356_2_308,438_1_331,11229.498608035823
356_2_308,438_3_329,9600.988870422716
356_2_308,356_1_309,1125.1488627190765
356_2_308,356_2_308,0.0
356_2_308,355_1_156,1117.3619470743422
356_2_308,355_2_153,1522.3691974181434
356_2_308,355_3_155,2113.778626966752
356_2_308,354_1_79,2789.521313045879
356_2_308,354_2_144,3360.964023948129
356_2_308,354_3_145,3898.0095632525617
356_2_308,34_1_94,4807.881385931904
356_2_308,49_2_12,7914.770014415976
356_2_308,49_3_15,8349.735555603107
356_2_308,58_2_17,8765.837877881804
356_2_308,59_1_18,9330.628502985404
356_2_308,59_2_18,9907.625179860814
356_2_308,72_2_28,11617.536384858473
356_2_308,72_1_22,11641.949827703706
356_2_308,89_1_28,12313.265876511203
356_2_308,89_2_30,12709.398483388519
356_2_308,97_1_33,13027.888286025478
356_2_308,97_2_33,13388.13353050798
356_2_308,97_3_38,13938.65134409381
355_1_156,439_1_334,15003.235000806279
355_1_156,439_2_333,14077.235503832191
355_1_156,439_3_332,13227.22232708986
355_1_156,438_1_331,12327.412664145633
355_1_156,438_3_329,10709.555494658682
355_1_156,356_1_309,2242.4927621119127
355_1_156,356_2_308,1117.3619470743422
355_1_156,355_1_156,0.0
355_1_156,355_2_153,405.0110600534025
355_1_156,355_3_155,996.4168123112819
355_1_156,354_1_79,1672.1628608754866
355_1_156,354_2_144,2243.6050396512505
355_1_156,354_3_145,2780.6496548359914
355_1_156,34_1_94,3690.5217991199033
355_1_156,49_2_12,6797.409316630558
355_1_156,49_3_15,7232.375766486049
355_1_156,58_2_17,7648.477597540224
355_1_156,59_1_18,8213.267668261919
355_1_156,59_2_18,8790.264216455203
355_1_156,72_2_28,10500.175047835972
355_1_156,72_1_22,10524.58824016953
355_1_156,89_1_28,11195.904262344819
355_1_156,89_2_30,11592.03683017053
355_1_156,97_1_33,11910.526669802715
355_1_156,97_2_33,12270.821802344193
355_1_156,97_3_38,12821.885308113102
355_2_153,439_1_334,15397.595734974002
355_2_153,439_2_333,14473.330371457185
355_2_153,439_3_332,13624.731135848318
355_2_153,438_1_331,12726.55757632401
355_2_153,438_3_329,11112.0429154878
355_2_153,356_1_309,2647.4896532351363
355_2_153,356_2_308,1522.3691974181434
355_2_153,355_1_156,405.0110600534025
355_2_153,355_2_153,0.0
355_2_153,355_3_155,591.4171186872919
355_2_153,354_1_79,1267.1701801727077
355_2_153,354_2_144,1838.6093291565787
355_2_153,354_3_145,2375.651311018125
355_2_153,34_1_94,3285.5232248979064
355_2_153,49_2_12,6392.407855015993
355_2_153,49_3_15,6827.375748450512
355_2_153,58_2_17,7243.4767529696655
355_2_153,59_1_18,7808.265793652314
355_2_153,59_2_18,8385.262047080692
355_2_153,72_2_28,10095.171985329818
355_2_153,72_1_22,10119.584527681014
355_2_153,89_1_28,10790.90044765697
355_2_153,89_2_30,11187.032883153403
355_2_153,97_1_33,11505.519410476809
355_2_153,97_2_33,11865.81564888011
355_2_153,97_3_38,12417.049990569245
355_3_155,439_1_334,15973.145136031324
355_3_155,439_2_333,15051.415640536263
355_3_155,439_3_332,14204.886819670004
355_3_155,438_1_331,13309.10111021051
355_3_155,438_3_329,11699.463665893121
355_3_155,356_1_309,3238.9057795818726
355_3_155,356_2_308,2113.778626966752
355_3_155,355_1_156,996.4168123112819
355_3_155,355_2_153,591.4171186872919
355_3_155,355_3_155,0.0
355_3_155,354_1_79,675.7538859118072
355_3_155,354_2_144,1247.192215469055
355_3_155,354_3_145,1784.2347142422007
355_3_155,34_1_94,2694.106815510617
355_3_155,49_2_12,5800.992981939967
355_3_155,49_3_15,6235.960090943156
355_3_155,58_2_17,6652.061529696871
355_3_155,59_1_18,7216.851214188947
355_3_155,59_2_18,7793.847679188617
355_3_155,72_2_28,9503.758319276429
355_3_155,72_1_22,9528.171437834068
355_3_155,89_1_28,10199.487455552055
355_3_155,89_2_30,10595.620019239068
355_3_155,97_1_33,10914.111103617048
355_3_155,97_2_33,11274.466057067059
355_3_155,97_3_38,11826.12121583006
354_1_79,439_1_334,16631.794532093063
354_1_79,439_2_333,15712.84311139374
354_1_79,439_3_332,14868.577143285405
354_1_79,438_1_331,13975.378490884625
354_1_79,438_3_329,12370.950515749893
354_1_79,356_1_309,3914.655319902474
354_1_79,356_2_308,2789.521313045879
354_1_79,355_1_156,1672.1628608754866
354_1_79,355_2_153,1267.1701801727077
354_1_79,355_3_155,675.7538859118072
354_1_79,354_1_79,0.0
354_1_79,354_2_144,571.4427356687554
354_1_79,354_3_145,1108.4887621217597
354_1_79,34_1_94,2018.3601340379878
354_1_79,49_2_12,5125.249354489003
354_1_79,49_3_15,5560.214266689359
354_1_79,58_2_17,5976.31677835937
354_1_79,59_1_18,6541.107936601566
354_1_79,59_2_18,7118.104782045207
354_1_79,72_2_28,8828.016704099038
354_1_79,72_1_22,8852.43104157116
354_1_79,89_1_28,9523.747161885001
354_1_79,89_2_30,9919.879935012861
354_1_79,97_1_33,10238.379646686386
354_1_79,97_2_33,10598.8259097489
354_1_79,97_3_38,11151.058785774945
354_2_144,439_1_334,17190.447820366804
354_2_144,439_2_333,16273.671972556172
354_2_144,439_3_332,15431.16807135176
354_2_144,438_1_331,14539.959650464521
354_2_144,438_3_329,12939.441903610108
354_2_144,356_1_309,4486.096984300749
354_2_144,356_2_308,3360.964023948129
354_2_144,355_1_156,2243.6050396512505
354_2_144,355_2_153,1838.6093291565787
354_2_144,355_3_155,1247.192215469055
354_2_144,354_1_79,571.4427356687554
354_2_144,354_2_144,0.0
354_2_144,354_3_145,537.0464161581906
354_2_144,34_1_94,1446.9173983692544
354_2_144,49_2_12,4553.806708198858
354_2_144,49_3_15,4988.7715393756225
354_2_144,58_2_17,5404.874049865723
354_2_144,59_1_18,5969.6652958748855
354_2_144,59_2_18,6546.662170668025
354_2_144,72_2_28,8256.574225786959
354_2_144,72_1_22,8280.9887608155
354_2_144,89_1_28,8952.304885190604
354_2_144,89_2_30,9348.437688690225
354_2_144,97_1_33,9666.939776453131
354_2_144,97_2_33,10027.438937749444
354_2_144,97_3_38,10580.128573898668
354_3_145,439_1_334,17716.39848292736
354_3_145,439_2_333,16801.5592000226
354_3_145,439_3_332,15960.618012122584
354_3_145,438_1_331,15071.159918640422
354_3_145,438_3_329,13474.027382516118
354_3_145,356_1_309,5023.140485086931
354_3_145,356_2_308,3898.0095632525617
354_3_145,355_1_156,2780.6496548359914
354_3_145,355_2_153,2375.651311018125
354_3_145,355_3_155,1784.2347142422007
354_3_145,354_1_79,1108.4887621217597
354_3_145,354_2_144,537.0464161581906
354_3_145,354_3_145,0.0
354_3_145,34_1_94,909.8721843590502
354_3_145,49_2_12,4016.760650091344
354_3_145,49_3_15,4451.726162474023
354_3_145,58_2_17,4867.828314629299
354_3_145,59_1_18,5432.619220360888
354_3_145,59_2_18,6009.616041282654
354_3_145,72_2_28,7719.5279489570685
354_3_145,72_1_22,7743.942384660974
354_3_145,89_1_28,8415.258508268536
354_3_145,89_2_30,8811.391303513055
354_3_145,97_1_33,9129.894071164057
354_3_145,97_2_33,9490.438174146266
354_3_145,97_3_38,10043.576500775474
34_1_94,439_1_334,18608.455259924853
34_1_94,439_2_333,17696.751514492236
34_1_94,439_3_332,16858.335146513702
34_1_94,438_1_331,15971.685756656301
34_1_94,438_3_329,14379.932589321468
34_1_94,356_1_309,5933.0125929394435
34_1_94,356_2_308,4807.881385931904
34_1_94,355_1_156,3690.5217991199033
34_1_94,355_2_153,3285.5232248979064
34_1_94,355_3_155,2694.106815510617
34_1_94,354_1_79,2018.3601340379878
34_1_94,354_2_144,1446.9173983692544
34_1_94,354_3_145,909.8721843590502
34_1_94,34_1_94,0.0
34_1_94,49_2_12,3106.8896831610873
34_1_94,49_3_15,3541.8541742184825
34_1_94,58_2_17,3957.9566789258733
34_1_94,59_1_18,4522.748245185665
34_1_94,59_2_18,5099.745211563834
34_1_94,72_2_28,6809.6576721995
34_1_94,72_1_22,6834.072854495989
34_1_94,89_1_28,7505.38896149053
34_1_94,89_2_30,7901.521845867172
34_1_94,97_1_33,8220.031414984418
34_1_94,97_2_33,8580.695946050782
34_1_94,97_3_38,9134.795521036713
49_2_12,439_1_334,21666.63155555732
49_2_12,439_2_333,20763.990029705303
49_2_12,439_3_332,19932.800014477936
49_2_12,438_1_331,19054.023960937913
49_2_12,438_3_329,17476.80823387175
49_2_12,356_1_309,9039.897172436886
49_2_12,356_2_308,7914.770014415976
49_2_12,355_1_156,6797.409316630558
49_2_12,355_2_153,6392.407855015993
49_2_12,355_3_155,5800.992981939967
49_2_12,354_1_79,5125.249354489003
49_2_12,354_2_144,4553.806708198858
49_2_12,354_3_145,4016.760650091344
49_2_12,34_1_94,3106.8896831610873
49_2_12,49_2_12,0.0
49_2_12,49_3_15,434.9804710294446
49_2_12,58_2_17,851.0699748053993
49_2_12,59_1_18,1415.858588645903
49_2_12,59_2_18,1992.8555290930121
49_2_12,72_2_28,3702.768281930699
49_2_12,72_1_22,3727.1846118194967
49_2_12,89_1_28,4398.500538800921
49_2_12,89_2_30,4794.6335093281805
49_2_12,97_1_33,5113.163657974521
49_2_12,97_2_33,5474.4230181483235
49_2_12,97_3_38,6033.670269237772
49_3_15,439_1_334,22095.220910701977
49_3_15,439_2_333,21193.74992720066
49_3_15,439_3_332,20363.49228554471
49_3_15,438_1_331,19485.724589925212
49_3_15,438_3_329,17910.36309490428
49_3_15,356_1_309,9474.865392478558
49_3_15,356_2_308,8349.735555603107
49_3_15,355_1_156,7232.375766486049
49_3_15,355_2_153,6827.375748450512
49_3_15,355_3_155,6235.960090943156
49_3_15,354_1_79,5560.214266689359
49_3_15,354_2_144,4988.7715393756225
49_3_15,354_3_145,4451.726162474023
49_3_15,34_1_94,3541.8541742184825
49_3_15,49_2_12,434.9804710294446
49_3_15,49_3_15,0.0
49_3_15,58_2_17,416.10641529248574
49_3_15,59_1_18,980.9030858495626
49_3_15,59_2_18,1557.8985335348543
49_3_15,72_2_28,3267.811194614465
49_3_15,72_1_22,3292.2310601846375
49_3_15,89_1_28,3963.545816634176
49_3_15,89_2_30,4359.678647622718
49_3_15,97_1_33,4678.229217805159
49_3_15,97_2_33,5039.7172292354
49_3_15,97_3_38,5600.347715020869
58_2_17,439_1_334,22506.28231007152
58_2_17,439_2_333,21605.812771286644
58_2_17,439_3_332,20776.344425485757
58_2_17,438_1_331,19899.41781015623
58_2_17,438_3_329,18325.54658671505
58_2_17,356_1_309,9890.96625110096
58_2_17,356_2_308,8765.837877881804
58_2_17,355_1_156,7648.477597540224
58_2_17,355_2_153,7243.4767529696655
58_2_17,355_3_155,6652.061529696871
58_2_17,354_1_79,5976.31677835937
58_2_17,354_2_144,5404.874049865723
58_2_17,354_3_145,4867.828314629299
58_2_17,34_1_94,3957.9566789258733
58_2_17,49_2_12,851.0699748053993
58_2_17,49_3_15,416.10641529248574
58_2_17,58_2_17,0.0
58_2_17,59_1_18,564.7966952990826
58_2_17,59_2_18,1141.7923285049076
58_2_17,72_2_28,2851.7053696911444
58_2_17,72_1_22,2876.1247874444553
58_2_17,89_1_28,3547.439708175712
58_2_17,89_2_30,3943.572581136685
58_2_17,97_1_33,4262.124344185955
58_2_17,97_2_33,4623.746157610606
58_2_17,97_3_38,5185.609584404299
59_1_18,439_1_334,23064.559150584733
59_1_18,439_2_333,22165.39708940147
59_1_18,439_3_332,21336.957072423822
59_1_18,438_1_331,20461.122067544453
59_1_18,438_3_329,18889.171875129523
59_1_18,356_1_309,10455.754828376432
59_1_18,356_2_308,9330.628502985404
59_1_18,355_1_156,8213.267668261919
59_1_18,355_2_153,7808.265793652314
59_1_18,355_3_155,7216.851214188947
59_1_18,354_1_79,6541.107936601566
59_1_18,354_2_144,5969.6652958748855
59_1_18,354_3_145,5432.619220360888
59_1_18,34_1_94,4522.748245185665
59_1_18,49_2_12,1415.858588645903
59_1_18,49_3_15,980.9030858495626
59_1_18,58_2_17,564.7966952990826
59_1_18,59_1_18,0.0
59_1_18,59_2_18,576.9971156273914
59_1_18,72_2_28,2286.91046930546
59_1_18,72_1_22,2311.3287231853456
59_1_18,89_1_28,2982.644027556327
59_1_18,89_2_30,3378.776972655007
59_1_18,97_1_33,3697.329520015873
59_1_18,97_2_33,4059.169836985257
59_1_18,97_3_38,4623.039361103391
59_2_18,439_1_334,23634.940995085755
59_2_18,439_2_333,22737.089900402712
59_2_18,439_3_332,21909.681665803775
59_2_18,438_1_331,21034.941636543732
59_2_18,438_3_329,19464.925079180837
59_2_18,356_1_309,11032.75085934362
59_2_18,356_2_308,9907.625179860814
59_2_18,355_1_156,8790.264216455203
59_2_18,355_2_153,8385.262047080692
59_2_18,355_3_155,7793.847679188617
59_2_18,354_1_79,7118.104782045207
59_2_18,354_2_144,6546.662170668025
59_2_18,354_3_145,6009.616041282654
59_2_18,34_1_94,5099.745211563834
59_2_18,49_2_12,1992.8555290930121
59_2_18,49_3_15,1557.8985335348543
59_2_18,58_2_17,1141.7923285049076
59_2_18,59_1_18,576.9971156273914
59_2_18,59_2_18,0.0
59_2_18,72_2_28,1709.9134178299007
59_2_18,72_1_22,1734.332537829084
59_2_18,89_1_28,2405.6473897428577
59_2_18,89_2_30,2801.780280770843
59_2_18,97_1_33,3120.3446563187367
59_2_18,97_2_33,3482.5397688615913
59_2_18,97_3_38,4049.159901012329
72_2_28,439_1_334,25327.139888642454
72_2_28,439_2_333,24432.864437458233
72_2_28,439_3_332,23608.259093742825
72_2_28,438_1_331,22736.471991619466
72_2_28,438_3_329,21171.605155156438
72_2_28,356_1_309,12742.659895572719
72_2_28,356_2_308,11617.536384858473
72_2_28,355_1_156,10500.175047835972
72_2_28,355_2_153,10095.171985329818
72_2_28,355_3_155,9503.758319276429
72_2_28,354_1_79,8828.016704099038
72_2_28,354_2_144,8256.574225786959
72_2_28,354_3_145,7719.5279489570685
72_2_28,34_1_94,6809.6576721995
72_2_28,49_2_12,3702.768281930699
72_2_28,49_3_15,3267.811194614465
72_2_28,58_2_17,2851.7053696911444
72_2_28,59_1_18,2286.91046930546
72_2_28,59_2_18,1709.9134178299007
72_2_28,72_2_28,0.0
72_2_28,72_1_22,24.560419106982973
72_2_28,89_1_28,695.7363011301642
72_2_28,89_2_30,1091.8682167433726
72_2_28,97_1_33,1410.5123437592058
72_2_28,97_2_33,1775.0455981162959
72_2_28,97_3_38,2357.2637819405513
72_1_22,439_1_334,25351.688478607564
72_1_22,439_2_333,24457.421704033553
72_1_22,439_3_332,23632.819410671575
72_1_22,438_1_331,22761.03039638919
72_1_22,438_3_329,21196.1359937258
72_1_22,356_1_309,12767.071642367959
72_1_22,356_2_308,11641.949827703706
72_1_22,355_1_156,10524.58824016953
72_1_22,355_2_153,10119.584527681014
72_1_22,355_3_155,9528.171437834068
72_1_22,354_1_79,8852.43104157116
72_1_22,354_2_144,8280.9887608155
72_1_22,354_3_145,7743.942384660974
72_1_22,34_1_94,6834.072854495989
72_1_22,49_2_12,3727.1846118194967
72_1_22,49_3_15,3292.2310601846375
72_1_22,58_2_17,2876.1247874444553
72_1_22,59_1_18,2311.3287231853456
72_1_22,59_2_18,1734.332537829084
72_1_22,72_2_28,24.560419106982973
72_1_22,72_1_22,0.0
72_1_22,89_1_28,671.3161247573161
72_1_22,89_2_30,1067.4489964156594
72_1_22,97_1_33,1386.0613296731105
72_1_22,97_2_33,1750.499190501167
72_1_22,97_3_38,2332.7881380838226
89_1_28,439_1_334,26016.61661199159
89_1_28,439_2_333,25123.65036144994
89_1_28,439_3_332,24300.064657757026
89_1_28,438_1_331,23429.340686247466
89_1_28,438_3_329,21866.289151088436
89_1_28,356_1_309,13438.387360563986
89_1_28,356_2_308,12313.265876511203
89_1_28,355_1_156,11195.904262344819
89_1_28,355_2_153,10790.90044765697
89_1_28,355_3_155,10199.487455552055
89_1_28,354_1_79,9523.747161885001
89_1_28,354_2_144,8952.304885190604
89_1_28,354_3_145,8415.258508268536
89_1_28,34_1_94,7505.38896149053
89_1_28,49_2_12,4398.500538800921
89_1_28,49_3_15,3963.545816634176
89_1_28,58_2_17,3547.439708175712
89_1_28,59_1_18,2982.644027556327
89_1_28,59_2_18,2405.6473897428577
89_1_28,72_2_28,695.7363011301642
89_1_28,72_1_22,671.3161247573161
89_1_28,89_1_28,0.0
89_1_28,89_2_30,396.1329797046496
89_1_28,97_1_33,714.8655249107094
89_1_28,97_2_33,1082.226452872587
89_1_28,97_3_38,1678.7734736245227
89_2_30,439_1_334,26409.180983307066
89_2_30,439_2_333,25516.950287381285
89_2_30,439_3_332,24693.938202067377
89_2_30,438_1_331,23823.81289997689
89_2_30,438_3_329,22261.789582642727
89_2_30,356_1_309,13834.519567558551
89_2_30,356_2_308,12709.398483388519
89_2_30,355_1_156,11592.03683017053
89_2_30,355_2_153,11187.032883153403
89_2_30,355_3_155,10595.620019239068
89_2_30,354_1_79,9919.879935012861
89_2_30,354_2_144,9348.437688690225
89_2_30,354_3_145,8811.391303513055
89_2_30,34_1_94,7901.521845867172
89_2_30,49_2_12,4794.6335093281805
89_2_30,49_3_15,4359.678647622718
89_2_30,58_2_17,3943.572581136685
89_2_30,59_1_18,3378.776972655007
89_2_30,59_2_18,2801.780280770843
89_2_30,72_2_28,1091.8682167433726
89_2_30,72_1_22,1067.4489964156594
89_2_30,89_1_28,396.1329797046496
89_2_30,89_2_30,0.0
89_2_30,97_1_33,319.019751771872
89_2_30,97_2_33,690.5945280353251
89_2_30,97_3_38,1301.0176943464644
97_1_33,439_1_334,26727.283512241676
97_1_33,439_2_333,25835.370047254273
97_1_33,439_3_332,25012.580212553705
97_1_33,438_1_331,24142.652618881468
97_1_33,438_3_329,22580.80917673506
97_1_33,356_1_309,14152.99741202763
97_1_33,356_2_308,13027.888286025478
97_1_33,355_1_156,11910.526669802715
97_1_33,355_2_153,11505.519410476809
97_1_33,355_3_155,10914.111103617048
97_1_33,354_1_79,10238.379646686386
97_1_33,354_2_144,9666.939776453131
97_1_33,354_3_145,9129.894071164057
97_1_33,34_1_94,8220.031414984418
97_1_33,49_2_12,5113.163657974521
97_1_33,49_3_15,4678.229217805159
97_1_33,58_2_17,4262.124344185955
97_1_33,59_1_18,3697.329520015873
97_1_33,59_2_18,3120.3446563187367
97_1_33,72_2_28,1410.5123437592058
97_1_33,72_1_22,1386.0613296731105
97_1_33,89_1_28,714.8655249107094
97_1_33,89_2_30,319.019751771872
97_1_33,97_1_33,0.0
97_1_33,97_2_33,376.7108617247406
97_1_33,97_3_38,999.6936126102931
97_2_33,439_1_334,27098.72544007044
97_2_33,439_2_333,26205.876764892702
97_2_33,439_3_332,25382.209189096182
97_2_33,438_1_331,24511.163784573502
97_2_33,438_3_329,22946.45231057508
97_2_33,356_1_309,14513.130633688696
97_2_33,356_2_308,13388.13353050798
97_2_33,355_1_156,12270.821802344193
97_2_33,355_2_153,11865.81564888011
97_2_33,355_3_155,11274.466057067059
97_2_33,354_1_79,10598.8259097489
97_2_33,354_2_144,10027.438937749444
97_2_33,354_3_145,9490.438174146266
97_2_33,34_1_94,8580.695946050782
97_2_33,49_2_12,5474.4230181483235
97_2_33,49_3_15,5039.7172292354
97_2_33,58_2_17,4623.746157610606
97_2_33,59_1_18,4059.169836985257
97_2_33,59_2_18,3482.5397688615913
97_2_33,72_2_28,1775.0455981162959
97_2_33,72_1_22,1750.499190501167
97_2_33,89_1_28,1082.226452872587
97_2_33,89_2_30,690.5945280353251
97_2_33,97_1_33,376.7108617247406
97_2_33,97_2_33,0.0
97_2_33,97_3_38,628.8354288617352
97_3_38,439_1_334,27681.53049665885
97_3_38,439_2_333,26785.355015487552
97_3_38,439_3_332,25958.702949620336
97_3_38,438_1_331,25084.003373959913
97_3_38,438_3_329,23510.468136841977
97_3_38,356_1_309,15062.994303256794
97_3_38,356_2_308,13938.65134409381
97_3_38,355_1_156,12821.885308113102
97_3_38,355_2_153,12417.049990569245
97_3_38,355_3_155,11826.12121583006
97_3_38,354_1_79,11151.058785774945
97_3_38,354_2_144,10580.128573898668
97_3_38,354_3_145,10043.576500775474
97_3_38,34_1_94,9134.795521036713
97_3_38,49_2_12,6033.670269237772
97_3_38,49_3_15,5600.347715020869
97_3_38,58_2_17,5185.609584404299
97_3_38,59_1_18,4623.039361103391
97_3_38,59_2_18,4049.159901012329
97_3_38,72_2_28,2357.2637819405513
97_3_38,72_1_22,2332.7881380838226
97_3_38,89_1_28,1678.7734736245227
97_3_38,89_2_30,1301.0176943464644
97_3_38,97_1_33,999.6936126102931
97_3_38,97_2_33,628.8354288617352
97_3_38,97_3_38,0.0
